window_start,src_ip,n_packets,pkt_rate,mean_ipd_ms,jitter_ms,rssi_mean_dbm,rssi_std_dbm,mean_pkt_len,std_pkt_len,ttl_mean,ttl_std,n_unique_src,n_unique_dst,dup_ip_id,label,node
270.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
272.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
275.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
277.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
280.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
282.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
285.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
287.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
290.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
292.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
295.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
297.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
300.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
302.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
305.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
307.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
310.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
312.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
315.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
317.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
320.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
322.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
325.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
327.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
330.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
332.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
335.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
337.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
340.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
342.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
345.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
347.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
350.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
352.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
355.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
357.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
360.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
